Order ID,Product Category,Product, Sales ,Quantity,Discount, Profit , Shipping Cost 
AU-2015-66,Auto & Accessories,Car Body Covers, $117.0 ,1,0.02, $34.7 , $3.5 
AU-2015-67,Auto & Accessories,Car & Bike Care, $118.0 ,1,0.01, $36.8 , $3.7 
AU-2015-68,Auto & Accessories,Tyre, $250.0 ,1,0.01, $167.5 , $16.8 
AU-2015-69,Auto & Accessories,Bike Tyres, $72.0 ,1,0.02, $72.0 , $7.2 
AU-2015-70,Auto & Accessories,Car Mat, $54.0 ,1,0.03, $54.0 , $5.4 
AU-2015-71,Auto & Accessories,Car Seat Covers, $114.0 ,4,0.03, $20.3 , $2.0 
AU-2015-72,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,3,0.05, $116.4 , $11.6 
AU-2015-73,Auto & Accessories,Car Media Players, $140.0 ,4,0.05, $32.0 , $3.2 
AU-2015-74,Auto & Accessories,Car Speakers, $211.0 ,5,0.01, $120.5 , $12.0 
AU-2015-75,Auto & Accessories,Car Body Covers, $117.0 ,4,0.01, $32.3 , $3.2 
AU-2015-76,Auto & Accessories,Car & Bike Care, $118.0 ,1,0.01, $36.8 , $3.7 
AU-2015-77,Auto & Accessories,Tyre, $250.0 ,4,0.03, $140.0 , $14.0 
AU-2015-78,Auto & Accessories,Bike Tyres, $72.0 ,4,0.04, $18.0 , $1.8 
AU-2015-79,Auto & Accessories,Car Mat, $54.0 ,5,0.03, $10.8 , $1.1 
AU-2015-80,Auto & Accessories,Car Seat Covers, $114.0 ,1,0.05, $28.3 , $2.8 
AU-2015-81,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,1,0.03, $144.1 , $14.4 
AU-2015-82,Auto & Accessories,Car Media Players, $140.0 ,1,0.01, $58.6 , $5.9 
AU-2015-83,Auto & Accessories,Car Speakers, $211.0 ,5,0.03, $99.4 , $9.9 
AU-2015-84,Auto & Accessories,Car Body Covers, $117.0 ,3,0.02, $30.0 , $3.0 
AU-2015-85,Auto & Accessories,Car & Bike Care, $118.0 ,2,0.04, $28.6 , $2.9 
AU-2015-86,Auto & Accessories,Tyre, $250.0 ,4,0.05, $120.0 , $12.0 
AU-2015-87,Auto & Accessories,Bike Tyres, $72.0 ,2,0.02, $36.0 , $3.6 
AU-2015-88,Auto & Accessories,Car Mat, $54.0 ,2,0.03, $27.0 , $2.7 
AU-2015-89,Auto & Accessories,Car Seat Covers, $114.0 ,2,0.04, $24.9 , $2.5 
AU-2015-90,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,5,0.04, $104.8 , $10.5 
AU-2015-91,Auto & Accessories,Car Media Players, $140.0 ,1,0.04, $54.4 , $5.4 
AU-2015-92,Auto & Accessories,Car Speakers, $211.0 ,3,0.01, $124.7 , $12.5 
AU-2015-93,Auto & Accessories,Car Body Covers, $117.0 ,2,0.02, $32.3 , $3.2 
AU-2015-94,Auto & Accessories,Car & Bike Care, $118.0 ,4,0.04, $19.1 , $1.9 
AU-2015-95,Auto & Accessories,Tyre, $250.0 ,4,0.03, $140.0 , $14.0 
AU-2015-96,Auto & Accessories,Bike Tyres, $72.0 ,2,0.01, $36.0 , $3.6 
AU-2015-97,Auto & Accessories,Car Mat, $54.0 ,5,0.02, $10.8 , $1.1 
AU-2015-98,Auto & Accessories,Car Seat Covers, $114.0 ,3,0.04, $20.3 , $2.0 
AU-2015-99,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,2,0.02, $141.8 , $14.2 
AU-2015-100,Auto & Accessories,Car Media Players, $140.0 ,1,0.01, $58.6 , $5.9 
AU-2015-101,Auto & Accessories,Car Speakers, $211.0 ,5,0.03, $99.4 , $9.9 
AU-2015-102,Auto & Accessories,Car Body Covers, $117.0 ,3,0.03, $26.5 , $2.6 
AU-2015-103,Auto & Accessories,Car & Bike Care, $118.0 ,5,0.04, $14.4 , $1.4 
AU-2015-104,Auto & Accessories,Tyre, $250.0 ,3,0.05, $132.5 , $13.3 
AU-2015-105,Auto & Accessories,Bike Tyres, $72.0 ,4,0.03, $18.0 , $1.8 
AU-2015-106,Auto & Accessories,Car Mat, $54.0 ,5,0.01, $10.8 , $1.1 
AU-2015-107,Auto & Accessories,Car Seat Covers, $114.0 ,2,0.02, $29.4 , $2.9 
AU-2015-108,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,3,0.02, $137.1 , $13.7 
AU-2015-109,Auto & Accessories,Car Media Players, $140.0 ,4,0.03, $43.2 , $4.3 
AU-2015-110,Auto & Accessories,Car Speakers, $211.0 ,3,0.05, $99.4 , $9.9 
AU-2015-111,Auto & Accessories,Car Body Covers, $117.0 ,5,0.05, $7.8 , $0.8 
AU-2015-112,Auto & Accessories,Car & Bike Care, $118.0 ,3,0.01, $34.5 , $3.4 
AU-2015-113,Auto & Accessories,Tyre, $250.0 ,5,0.01, $157.5 , $15.8 
AU-2015-114,Auto & Accessories,Bike Tyres, $72.0 ,2,0.03, $36.0 , $3.6 
AU-2015-115,Auto & Accessories,Car Mat, $54.0 ,4,0.02, $13.5 , $1.4 
AU-2015-116,Auto & Accessories,Car Seat Covers, $114.0 ,5,0.05, $5.5 , $0.6 
AU-2015-117,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,4,0.02, $132.5 , $13.3 
AU-2015-118,Auto & Accessories,Car Media Players, $140.0 ,1,0.04, $54.4 , $5.4 
AU-2015-119,Auto & Accessories,Car Speakers, $211.0 ,3,0.04, $105.7 , $10.6 
AU-2015-120,Auto & Accessories,Car Body Covers, $117.0 ,5,0.01, $31.2 , $3.1 
AU-2015-121,Auto & Accessories,Car & Bike Care, $118.0 ,5,0.03, $20.3 , $2.0 
AU-2015-122,Auto & Accessories,Tyre, $250.0 ,4,0.05, $120.0 , $12.0 
AU-2015-123,Auto & Accessories,Bike Tyres, $72.0 ,4,0.03, $18.0 , $1.8 
AU-2015-124,Auto & Accessories,Car Mat, $54.0 ,1,0.01, $54.0 , $5.4 
AU-2015-125,Auto & Accessories,Car Seat Covers, $114.0 ,3,0.02, $27.2 , $2.7 
AU-2015-126,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,1,0.01, $148.7 , $14.9 
AU-2015-127,Auto & Accessories,Car Media Players, $140.0 ,1,0.01, $58.6 , $5.9 
AU-2015-128,Auto & Accessories,Car Speakers, $211.0 ,3,0.01, $124.7 , $12.5 
AU-2015-129,Auto & Accessories,Car Body Covers, $117.0 ,5,0.04, $13.6 , $1.4 
AU-2015-130,Auto & Accessories,Car & Bike Care, $118.0 ,5,0.02, $26.2 , $2.6 
AU-2015-131,Auto & Accessories,Tyre, $250.0 ,3,0.02, $155.0 , $15.5 
AU-2015-132,Auto & Accessories,Bike Tyres, $72.0 ,5,0.05, $14.4 , $1.4 
AU-2015-133,Auto & Accessories,Car Mat, $54.0 ,1,0.02, $54.0 , $5.4 
AU-2015-134,Auto & Accessories,Car Seat Covers, $114.0 ,5,0.05, $5.5 , $0.6 
AU-2015-135,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,2,0.02, $141.8 , $14.2 
AU-2015-136,Auto & Accessories,Car Media Players, $140.0 ,1,0.03, $55.8 , $5.6 
AU-2015-137,Auto & Accessories,Car Speakers, $211.0 ,4,0.02, $114.1 , $11.4 
AU-2015-138,Auto & Accessories,Car Body Covers, $117.0 ,5,0.04, $13.6 , $1.4 
AU-2015-139,Auto & Accessories,Car & Bike Care, $118.0 ,5,0.04, $14.4 , $1.4 
AU-2015-140,Auto & Accessories,Tyre, $250.0 ,4,0.05, $120.0 , $12.0 
AU-2015-141,Auto & Accessories,Bike Tyres, $72.0 ,5,0.05, $14.4 , $1.4 
AU-2015-142,Auto & Accessories,Car Mat, $54.0 ,5,0.03, $10.8 , $1.1 
AU-2015-143,Auto & Accessories,Car Seat Covers, $114.0 ,4,0.05, $11.2 , $1.1 
AU-2015-144,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,1,0.05, $139.5 , $13.9 
AU-2015-145,Auto & Accessories,Car Media Players, $140.0 ,5,0.01, $53.0 , $5.3 
AU-2015-146,Auto & Accessories,Car Speakers, $211.0 ,5,0.04, $88.8 , $8.9 
AU-2015-147,Auto & Accessories,Car Body Covers, $117.0 ,1,0.02, $34.7 , $3.5 
AU-2015-148,Auto & Accessories,Car & Bike Care, $118.0 ,5,0.05, $8.5 , $0.9 
AU-2015-149,Auto & Accessories,Tyre, $250.0 ,1,0.04, $160.0 , $16.0 
AU-2015-150,Auto & Accessories,Bike Tyres, $72.0 ,3,0.02, $24.0 , $2.4 
AU-2015-151,Auto & Accessories,Car Mat, $54.0 ,4,0.05, $13.5 , $1.4 
AU-2015-152,Auto & Accessories,Car Seat Covers, $114.0 ,4,0.04, $15.8 , $1.6 
AU-2015-153,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,1,0.03, $144.1 , $14.4 
AU-2015-154,Auto & Accessories,Car Media Players, $140.0 ,1,0.01, $58.6 , $5.9 
AU-2015-155,Auto & Accessories,Car Speakers, $211.0 ,5,0.03, $99.4 , $9.9 
AU-2015-156,Auto & Accessories,Car Body Covers, $117.0 ,4,0.01, $32.3 , $3.2 
AU-2015-157,Auto & Accessories,Car & Bike Care, $118.0 ,1,0.05, $32.1 , $3.2 
AU-2015-158,Auto & Accessories,Tyre, $250.0 ,3,0.01, $162.5 , $16.3 
AU-2015-159,Auto & Accessories,Bike Tyres, $72.0 ,3,0.01, $24.0 , $2.4 
AU-2015-160,Auto & Accessories,Car Mat, $54.0 ,5,0.03, $10.8 , $1.1 
AU-2015-161,Auto & Accessories,Car Seat Covers, $114.0 ,2,0.01, $31.7 , $3.2 
AU-2015-162,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,4,0.03, $123.3 , $12.3 
AU-2015-163,Auto & Accessories,Car Media Players, $140.0 ,1,0.03, $55.8 , $5.6 
AU-2015-164,Auto & Accessories,Car Speakers, $211.0 ,2,0.02, $122.6 , $12.3 
AU-2015-165,Auto & Accessories,Car Body Covers, $117.0 ,4,0.02, $27.6 , $2.8 
AU-2015-166,Auto & Accessories,Car & Bike Care, $118.0 ,1,0.01, $36.8 , $3.7 
AU-2015-167,Auto & Accessories,Tyre, $250.0 ,5,0.02, $145.0 , $14.5 
AU-2015-168,Auto & Accessories,Bike Tyres, $72.0 ,1,0.03, $72.0 , $7.2 
AU-2015-169,Auto & Accessories,Car Mat, $54.0 ,5,0.05, $10.8 , $1.1 
AU-2015-170,Auto & Accessories,Car Seat Covers, $114.0 ,2,0.04, $24.9 , $2.5 
AU-2015-171,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,4,0.02, $132.5 , $13.3 
AU-2015-172,Auto & Accessories,Car Media Players, $140.0 ,4,0.02, $48.8 , $4.9 
AU-2015-173,Auto & Accessories,Car Speakers, $211.0 ,4,0.01, $122.6 , $12.3 
AU-2015-174,Auto & Accessories,Car Body Covers, $117.0 ,5,0.03, $19.5 , $1.9 
AU-2015-175,Auto & Accessories,Car & Bike Care, $118.0 ,5,0.01, $32.1 , $3.2 
AU-2015-176,Auto & Accessories,Tyre, $250.0 ,5,0.03, $132.5 , $13.3 
AU-2015-177,Auto & Accessories,Bike Tyres, $72.0 ,2,0.03, $36.0 , $3.6 
AU-2015-178,Auto & Accessories,Car Mat, $54.0 ,2,0.04, $27.0 , $2.7 
AU-2015-179,Auto & Accessories,Car Seat Covers, $114.0 ,2,0.03, $27.2 , $2.7 
AU-2015-180,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,1,0.05, $139.5 , $13.9 
AU-2015-181,Auto & Accessories,Car Media Players, $140.0 ,5,0.05, $25.0 , $2.5 
AU-2015-182,Auto & Accessories,Car Speakers, $211.0 ,1,0.02, $126.8 , $12.7 
AU-2015-183,Auto & Accessories,Car Body Covers, $117.0 ,5,0.04, $13.6 , $1.4 
AU-2015-184,Auto & Accessories,Car & Bike Care, $118.0 ,4,0.03, $23.8 , $2.4 
AU-2015-185,Auto & Accessories,Tyre, $250.0 ,4,0.05, $120.0 , $12.0 
AU-2015-186,Auto & Accessories,Bike Tyres, $72.0 ,3,0.01, $24.0 , $2.4 
AU-2015-187,Auto & Accessories,Car Mat, $54.0 ,5,0.02, $10.8 , $1.1 
AU-2015-188,Auto & Accessories,Car Seat Covers, $114.0 ,1,0.05, $28.3 , $2.8 
AU-2015-189,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,5,0.02, $127.9 , $12.8 
AU-2015-190,Auto & Accessories,Car Media Players, $140.0 ,3,0.01, $55.8 , $5.6 
AU-2015-191,Auto & Accessories,Car Speakers, $211.0 ,4,0.03, $105.7 , $10.6 
AU-2015-192,Auto & Accessories,Car Body Covers, $117.0 ,2,0.02, $32.3 , $3.2 
AU-2015-193,Auto & Accessories,Car & Bike Care, $118.0 ,2,0.02, $33.3 , $3.3 
AU-2015-194,Auto & Accessories,Tyre, $250.0 ,5,0.04, $120.0 , $12.0 
AU-2015-195,Auto & Accessories,Bike Tyres, $72.0 ,3,0.03, $24.0 , $2.4 
AU-2015-196,Auto & Accessories,Car Mat, $54.0 ,1,0.05, $54.0 , $5.4 
AU-2015-197,Auto & Accessories,Car Seat Covers, $114.0 ,3,0.03, $23.7 , $2.4 
AU-2015-198,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,3,0.03, $130.2 , $13.0 
AU-2015-199,Auto & Accessories,Car Media Players, $140.0 ,1,0.01, $58.6 , $5.9 
AU-2015-200,Auto & Accessories,Car Speakers, $211.0 ,3,0.02, $118.3 , $11.8 
AU-2015-201,Auto & Accessories,Car Body Covers, $117.0 ,3,0.03, $26.5 , $2.6 
AU-2015-202,Auto & Accessories,Car & Bike Care, $118.0 ,4,0.01, $33.3 , $3.3 
AU-2015-203,Auto & Accessories,Tyre, $250.0 ,3,0.01, $162.5 , $16.3 
AU-2015-204,Auto & Accessories,Bike Tyres, $72.0 ,3,0.03, $24.0 , $2.4 
AU-2015-205,Auto & Accessories,Car Mat, $54.0 ,2,0.04, $27.0 , $2.7 
AU-2015-206,Auto & Accessories,Car Seat Covers, $114.0 ,1,0.05, $28.3 , $2.8 
AU-2015-207,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,1,0.01, $148.7 , $14.9 
AU-2015-208,Auto & Accessories,Car Media Players, $140.0 ,5,0.03, $39.0 , $3.9 
AU-2015-209,Auto & Accessories,Car Speakers, $211.0 ,1,0.04, $122.6 , $12.3 
AU-2015-210,Auto & Accessories,Car Body Covers, $117.0 ,4,0.03, $23.0 , $2.3 
AU-2015-211,Auto & Accessories,Car & Bike Care, $118.0 ,2,0.04, $28.6 , $2.9 
AU-2015-212,Auto & Accessories,Tyre, $250.0 ,5,0.03, $132.5 , $13.3 
AU-2015-213,Auto & Accessories,Bike Tyres, $72.0 ,4,0.04, $18.0 , $1.8 
AU-2015-214,Auto & Accessories,Car Mat, $54.0 ,5,0.03, $10.8 , $1.1 
AU-2015-215,Auto & Accessories,Car Seat Covers, $114.0 ,3,0.01, $30.6 , $3.1 
AU-2015-216,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,5,0.05, $93.3 , $9.3 
AU-2015-217,Auto & Accessories,Car Media Players, $140.0 ,2,0.04, $48.8 , $4.9 
AU-2015-218,Auto & Accessories,Car Speakers, $211.0 ,5,0.04, $88.8 , $8.9 
AU-2015-219,Auto & Accessories,Car Body Covers, $117.0 ,3,0.05, $19.5 , $1.9 
AU-2015-220,Auto & Accessories,Car & Bike Care, $118.0 ,5,0.05, $8.5 , $0.9 
AU-2015-221,Auto & Accessories,Tyre, $250.0 ,4,0.04, $130.0 , $13.0 
AU-2015-222,Auto & Accessories,Bike Tyres, $72.0 ,3,0.02, $24.0 , $2.4 
AU-2015-223,Auto & Accessories,Car Mat, $54.0 ,3,0.04, $18.0 , $1.8 
AU-2015-224,Auto & Accessories,Car Seat Covers, $114.0 ,3,0.05, $16.9 , $1.7 
AU-2015-225,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,5,0.03, $116.4 , $11.6 
AU-2015-226,Auto & Accessories,Car Media Players, $140.0 ,2,0.04, $48.8 , $4.9 
AU-2015-227,Auto & Accessories,Car Speakers, $211.0 ,4,0.03, $105.7 , $10.6 
AU-2015-228,Auto & Accessories,Car Body Covers, $117.0 ,3,0.01, $33.5 , $3.3 
AU-2015-229,Auto & Accessories,Car & Bike Care, $118.0 ,2,0.02, $33.3 , $3.3 
AU-2015-230,Auto & Accessories,Tyre, $250.0 ,4,0.05, $120.0 , $12.0 
AU-2015-231,Auto & Accessories,Bike Tyres, $72.0 ,4,0.05, $18.0 , $1.8 
AU-2015-232,Auto & Accessories,Car Mat, $54.0 ,1,0.01, $54.0 , $5.4 
AU-2015-233,Auto & Accessories,Car Seat Covers, $114.0 ,3,0.04, $20.3 , $2.0 
AU-2015-234,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,5,0.03, $116.4 , $11.6 
AU-2015-235,Auto & Accessories,Car Media Players, $140.0 ,3,0.01, $55.8 , $5.6 
AU-2015-236,Auto & Accessories,Car Speakers, $211.0 ,1,0.04, $122.6 , $12.3 
AU-2015-237,Auto & Accessories,Car Body Covers, $117.0 ,1,0.02, $34.7 , $3.5 
AU-2015-238,Auto & Accessories,Car & Bike Care, $118.0 ,4,0.03, $23.8 , $2.4 
AU-2015-239,Auto & Accessories,Tyre, $250.0 ,4,0.01, $160.0 , $16.0 
AU-2015-240,Auto & Accessories,Bike Tyres, $72.0 ,2,0.05, $36.0 , $3.6 
AU-2015-241,Auto & Accessories,Car Mat, $54.0 ,5,0.01, $10.8 , $1.1 
AU-2015-242,Auto & Accessories,Car Seat Covers, $114.0 ,1,0.04, $29.4 , $2.9 
AU-2015-243,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,2,0.02, $141.8 , $14.2 
AU-2015-244,Auto & Accessories,Car Media Players, $140.0 ,5,0.04, $32.0 , $3.2 
AU-2015-245,Auto & Accessories,Car Speakers, $211.0 ,1,0.04, $122.6 , $12.3 
AU-2015-246,Auto & Accessories,Car Body Covers, $117.0 ,1,0.04, $32.3 , $3.2 
AU-2015-247,Auto & Accessories,Car & Bike Care, $118.0 ,5,0.01, $32.1 , $3.2 
AU-2015-248,Auto & Accessories,Tyre, $250.0 ,4,0.04, $130.0 , $13.0 
AU-2015-249,Auto & Accessories,Bike Tyres, $72.0 ,3,0.01, $24.0 , $2.4 
AU-2015-250,Auto & Accessories,Car Mat, $54.0 ,1,0.04, $54.0 , $5.4 
AU-2015-251,Auto & Accessories,Car Seat Covers, $114.0 ,1,0.03, $30.6 , $3.1 
AU-2015-252,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,5,0.02, $127.9 , $12.8 
AU-2015-253,Auto & Accessories,Car Media Players, $140.0 ,4,0.05, $32.0 , $3.2 
AU-2015-254,Auto & Accessories,Car Speakers, $211.0 ,5,0.05, $78.3 , $7.8 
AU-2015-255,Auto & Accessories,Car Body Covers, $117.0 ,4,0.03, $23.0 , $2.3 
AU-2015-256,Auto & Accessories,Car & Bike Care, $118.0 ,3,0.04, $23.8 , $2.4 
AU-2015-257,Auto & Accessories,Tyre, $250.0 ,5,0.05, $107.5 , $10.8 
AU-2015-258,Auto & Accessories,Bike Tyres, $72.0 ,3,0.05, $24.0 , $2.4 
AU-2015-259,Auto & Accessories,Car Mat, $54.0 ,2,0.04, $27.0 , $2.7 
AU-2015-260,Auto & Accessories,Car Seat Covers, $114.0 ,5,0.03, $16.9 , $1.7 
AU-2015-261,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,1,0.04, $141.8 , $14.2 
AU-2015-262,Auto & Accessories,Car Media Players, $140.0 ,3,0.02, $51.6 , $5.2 
AU-2015-263,Auto & Accessories,Car Speakers, $211.0 ,5,0.04, $88.8 , $8.9 
AU-2015-264,Auto & Accessories,Car Body Covers, $117.0 ,3,0.04, $23.0 , $2.3 
AU-2015-265,Auto & Accessories,Car & Bike Care, $118.0 ,1,0.02, $35.6 , $3.6 
AU-2015-266,Auto & Accessories,Tyre, $250.0 ,5,0.02, $145.0 , $14.5 
AU-2015-267,Auto & Accessories,Bike Tyres, $72.0 ,1,0.01, $72.0 , $7.2 
AU-2015-268,Auto & Accessories,Car Mat, $54.0 ,1,0.05, $54.0 , $5.4 
AU-2015-269,Auto & Accessories,Car Seat Covers, $114.0 ,1,0.02, $31.7 , $3.2 
AU-2015-270,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,3,0.04, $123.3 , $12.3 
AU-2015-271,Auto & Accessories,Car Media Players, $140.0 ,4,0.01, $54.4 , $5.4 
AU-2015-272,Auto & Accessories,Car Speakers, $211.0 ,4,0.05, $88.8 , $8.9 
AU-2015-273,Auto & Accessories,Car Body Covers, $117.0 ,4,0.02, $27.6 , $2.8 
AU-2015-274,Auto & Accessories,Car & Bike Care, $118.0 ,2,0.02, $33.3 , $3.3 
AU-2015-275,Auto & Accessories,Tyre, $250.0 ,2,0.02, $160.0 , $16.0 
AU-2015-276,Auto & Accessories,Bike Tyres, $72.0 ,2,0.02, $36.0 , $3.6 
AU-2015-277,Auto & Accessories,Car Mat, $54.0 ,1,0.05, $54.0 , $5.4 
